,UID,group,overpass,land_cover,mast,yast,theta,ncsa,mast_unc,yast_unc,theta_unc
165,EUR199522,workday,N,rural_bare,281.2757263,6.773676872,-30.39102364,371,0.188510999,0.232040644,2.111604929
166,EUR199522,weekend,N,urban,281.561554,7.745769501,-28.71782303,710,0.107469872,0.154724658,1.118290186
167,EUR199522,weekend,N,rural_bare,280.5860901,7.176405907,-28.50976563,176,0.238116577,0.293803394,2.813384533
168,EUR199524,workday,D,urban,291.8994751,15.1369524,-15.36268425,817,0.123263553,0.179675743,0.647837758
169,EUR199524,workday,D,rural_bare,289.8399963,13.78927422,-18.48491096,343,0.198598564,0.298888505,1.006287336
170,EUR199524,weekend,D,urban,291.848999,14.76656532,-17.37433434,366,0.179153994,0.265227616,0.950814605
171,EUR199524,weekend,D,rural_bare,289.5766602,13.87125206,-20.30949402,151,0.288743764,0.45529744,1.455666065
172,EUR199524,workday,N,urban,280.6790771,7.64815712,-31.43039513,1749,0.073628537,0.105588011,0.776296616
173,EUR199524,workday,N,rural_bare,279.3082275,7.401827335,-31.2240696,721,0.117789254,0.153924733,1.340658069
174,EUR199524,weekend,N,urban,280.6671143,7.858724594,-30.68268394,744,0.116346739,0.168533877,1.188052654
175,EUR199524,weekend,N,rural_bare,279.4376221,7.278367519,-32.87649918,314,0.174480096,0.229431182,2.028523684
176,EUR199525,workday,D,urban,292.5069275,14.13509941,-15.10460281,629,0.118634954,0.169927716,0.67135638
177,EUR199525,workday,D,rural_bare,290.1187439,11.96167374,-18.63907242,211,0.301020503,0.433386832,1.327029943
178,EUR199525,weekend,D,urban,292.4485474,14.06610107,-14.86163425,248,0.184251964,0.271136314,1.040740609
179,EUR199525,weekend,D,rural_bare,289.9499817,11.9372263,-18.21036148,85,0.379146725,0.555108786,1.891596079
180,EUR199525,workday,N,urban,281.5934753,6.612801552,-32.3003273,1658,0.06428577,0.093413033,0.777983665
181,EUR199525,workday,N,rural_bare,280.6908569,5.489850998,-37.46691895,385,0.209239915,0.263872653,2.256858826
182,EUR199525,weekend,N,urban,281.623291,6.751309872,-32.80295563,697,0.101422995,0.145201698,1.219763517
